facility,period,variable,variable_clean,flag,indicator,region,district
Agule Prisons Health Centre II,2022-04-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-05-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-06-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-07-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-08-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-09-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-10-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-11-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-12-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-01-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-02-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-03-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-04-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-05-01,0,0,None,x105_ma12_neonatal_death_8_28_days,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-01-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-02-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-03-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-04-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-05-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-06-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-07-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-08-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-09-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-10-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-11-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2020-12-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-01-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-02-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-03-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-04-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-05-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-06-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-07-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-08-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-09-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-10-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-11-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2021-12-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-01-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-02-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-03-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-04-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-05-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-06-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-07-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-08-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-09-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-10-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-11-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2022-12-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-01-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-02-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-03-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-04-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Agule Prisons Health Centre II,2023-05-01,0,0,None,x105_es09g_death_at_unit_poisoning,Bukedi,Pallisa District
Akisim Health Centre III,2020-01-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2020-02-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2020-03-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2020-04-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2020-05-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2020-06-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2020-07-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2020-08-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2020-09-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2020-10-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2020-11-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2020-12-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2021-01-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2021-02-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2021-03-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2021-04-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2021-05-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2021-06-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2021-07-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2021-08-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2021-09-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2021-10-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2021-11-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2021-12-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2022-01-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2022-02-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2022-03-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2022-04-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2022-05-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2022-06-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2022-07-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2022-08-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2022-09-01,0,0,None,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2022-10-01,223,0,Outlier,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2022-11-01,612,0,Outlier,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2022-12-01,371,0,Outlier,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2023-01-01,443,0,Outlier,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2023-02-01,112,0,Outlier,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2023-03-01,76,0,Outlier,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2023-04-01,94,0,Outlier,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2023-05-01,143,0,Outlier,x105_ep01b_malaria_total,Bukedi,Pallisa District
Akisim Health Centre III,2020-01-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2020-02-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2020-03-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2020-04-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2020-05-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2020-06-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2020-07-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2020-08-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2020-09-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2020-10-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2020-11-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2020-12-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2021-01-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2021-02-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2021-03-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2021-04-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2021-05-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2021-06-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2021-07-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2021-08-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2021-09-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2021-10-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2021-11-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2021-12-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2022-01-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2022-02-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2022-03-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2022-04-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2022-05-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2022-06-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2022-07-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2022-08-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2022-09-01,0,0,None,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2022-10-01,17,0,Outlier,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2022-11-01,9,0,Outlier,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2022-12-01,14,0,Outlier,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2023-01-01,19,0,Outlier,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2023-02-01,9,0,Outlier,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2023-03-01,9,0,Outlier,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2023-04-01,7,0,Outlier,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2023-05-01,11,0,Outlier,x105_an01a_anc_1st_visit_for_women,Bukedi,Pallisa District
Akisim Health Centre III,2020-01-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2020-02-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2020-03-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2020-04-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2020-05-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2020-06-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2020-07-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2020-08-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2020-09-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2020-10-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2020-11-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2020-12-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2021-01-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2021-02-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2021-03-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2021-04-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2021-05-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2021-06-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2021-07-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2021-08-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2021-09-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2021-10-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2021-11-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2021-12-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2022-01-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2022-02-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2022-03-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2022-04-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2022-05-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2022-06-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2022-07-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2022-08-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2022-09-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2022-10-01,2,0,Outlier,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2022-11-01,2,0,Outlier,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2022-12-01,3,0,Outlier,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2023-01-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2023-02-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2023-03-01,1,0,Outlier,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2023-04-01,2,0,Outlier,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2023-05-01,0,0,None,x105_an01b_anc_1st_visit_for_women_1st_trimester,Bukedi,Pallisa District
Akisim Health Centre III,2020-01-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
Akisim Health Centre III,2020-02-01,0,0,None,x105_dt01_deaths_in_opd,Bukedi,Pallisa District
